LevelName	Status	LURD_Path	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	ClosedListLength	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealTotalNodes	PathBranchingRealMin	PathBranchingRealMax	PathBranchingRealAvg	PathBranchingEffectiveTotalNodes	PathBranchingEffectiveMin	PathBranchingEffectiveMax	PathBranchingEffectiveAvg	PathTotalChildrenGenerated	PathRepeatedNodes	PathDeadlocks	PathRedundancy
6 - David W. Skinner - 113 [likes=6, dislikes=0, completion=0.729064039408867, like_ratio=1.0, like_rate=0.0295566502463054, tedium=18.0]	SOLVED	ruRdllluRluurDDlddrruruLddlluRUrrdLrrruLLLrruulDrddlluRdrUdlldlluuRRRdldlU	12.2367	19	74	106	197	3152	275	253	425	16	1.39594	1.32057	12.4585	106	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
12 - David W. Skinner - 114 [likes=4, dislikes=0, completion=0.570731707317073, like_ratio=1.0, like_rate=0.0195121951219512, tedium=31.25]	SOLVED	rrruuLrddlluUruullllddrRlluurrrrddrdLuuullllddrrRllluurrrrdDrddlllUdrrruuluullllddrRRUruLLLulDrrrddlddrUUUruLLLrrddddrruuLrddlluUUruLddrrdLuuulLrddlddrUUUruL	38.8523	31	157	639	1624	25984	1918	2851	3039	16	1.18103	1.26931	9.114	639	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - David W. Skinner - 115 [likes=9, dislikes=0, completion=0.657407407407407, like_ratio=1.0, like_rate=0.0277777777777778, tedium=22.6666666666667]	SOLVED	dllllUUddrruLdlluurDldRurrdrruLLLLdRululuurDDlDRdrRlldlUUUddrrruLdlluuruulDrdDldRuuulD	18.3927	24	86	279	582	6984	697	998	717	12	1.19759	1.30378	6.998	279	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
19 - David W. Skinner - 116 [likes=4, dislikes=1, completion=0.443089430894309, like_ratio=0.8, like_rate=0.016260162601626, tedium=9.125]	SOLVED	rUdlluRRlllululuurrrdrdDuululllddrdrRlluluurrrdDuulllddrRlluurDurrdLLrdddrdrruLULU	29.8586	15	82	561	694	22208	1727	571	2769	32	2.48847	1.54676	38.8932	561	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
3 - David W. Skinner - 117 [likes=8, dislikes=0, completion=0.733082706766917, like_ratio=1.0, like_rate=0.0300751879699248, tedium=17.3333333333333]	SOLVED	luuRDldddrrruulLrrddllUlUUdddrrruulLulDuruurrdLullDurrdL	11.557	12	56	117	157	1884	275	247	248	12	1.75159	1.52402	7.62753	117	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
2 - David W. Skinner - 118 [likes=8, dislikes=0, completion=0.654545454545455, like_ratio=1.0, like_rate=0.0290909090909091, tedium=16.0]	SOLVED	ddLUlldRRuruulDrdLdlluuRlddrruruulDrdrdLuulllddrUluR	8.71928	12	52	18	21	252	36	15	39	12	1.71429	1.2888	16.8	18	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
11 - David W. Skinner - 119 [likes=6, dislikes=0, completion=0.635, like_ratio=1.0, like_rate=0.03, tedium=57.6666666666667]	SOLVED	drrrrRuRlddrUUluRddlllllluuurrrdDuullldddrrRRRuurRurrdLdLLulDrDLLrurrruulDlddllLrruurrrdLullddllLLrruuulllddlddrUUdrrrrruurrdLulDrdLLLLrrrddrUlulllLrrrrdrUluurrdLulDrdLLLuuullllddrUluRddlddrUrRllluuurRldlddrUluurrRlllddrUluRdddrrdrUllluuuRldddrrrU	117.885	51	247	2038	5094	61128	6032	9686	6700	12	1.18414	1.18219	6.31096	2038	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
5 - David W. Skinner - 120 [likes=5, dislikes=0, completion=0.672645739910314, like_ratio=1.0, like_rate=0.0224215246636771, tedium=24.6666666666667]	SOLVED	lluRlLulldRRddlUruLdrrruLdrrruLLdllluurDldRRRuLdlluurDldRurrrrdLulllullldRRurD	10.935	21	78	129	169	2028	255	226	245	12	1.50888	1.2767	8.97345	129	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - David W. Skinner - 121 [likes=6, dislikes=0, completion=0.817777777777778, like_ratio=1.0, like_rate=0.0266666666666667, tedium=8.75]	SOLVED	rddddLruuuulllddrRlluurrrdDlDuruulDrdLdDrddlUUUdrUddllluR	11.5929	13	57	112	152	2432	280	139	193	16	1.84211	1.47175	17.4964	112	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
10 - David W. Skinner - 122 [likes=4, dislikes=0, completion=0.641860465116279, like_ratio=1.0, like_rate=0.0186046511627907, tedium=15.2]	SOLVED	dlUruulllddRRdrUllluurrDullddrRuulllldRurrrddllddlluRUrrruullDulldRurrrdddrruLdlU	10.401	14	81	80	102	2040	137	46	162	20	1.34314	1.39146	44.3478	80	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
6 - David W. Skinner - 123 [likes=5, dislikes=0, completion=0.515981735159817, like_ratio=1.0, like_rate=0.0228310502283105, tedium=17.8]	SOLVED	rrrdLdDldllluRRdrRuuuulldRullldRDuurrdLurrrdLdddlllluRdrrruuuLullDDDldRRluuuurrdLulDDDldR	46.0877	23	89	1091	1976	39520	2966	2795	2417	20	1.50101	1.3909	14.1395	1091	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - David W. Skinner - 124 [likes=11, dislikes=0, completion=0.754098360655738, like_ratio=1.0, like_rate=0.0300546448087432, tedium=10.0]	SOLVED	DlddrUluRdddrruuLLdlUruuruulDD	8.95671	9	30	39	52	624	82	53	39	12	1.57692	1.5512	11.7736	39	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - David W. Skinner - 125 [likes=4, dislikes=0, completion=0.78099173553719, like_ratio=1.0, like_rate=0.0165289256198347, tedium=16.5]	SOLVED	lLrrdrUlllLdlluRRluurDDRRRdrruLLLLLulDuurrrDullddrRRdrruLLLLrrrruulDrdLL	10.7446	27	72	129	163	2608	183	91	196	16	1.1227	1.20763	28.6593	129	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - David W. Skinner - 126 [likes=9, dislikes=0, completion=0.75462962962963, like_ratio=1.0, like_rate=0.0416666666666667, tedium=15.0]	SOLVED	DLdlluRRRurrdLdLLullddrUruRdllluRR	8.64621	13	34	17	19	152	23	11	38	8	1.21053	1.2542	13.8182	17	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
2 - David W. Skinner - 127 [likes=6, dislikes=0, completion=0.477272727272727, like_ratio=1.0, like_rate=0.0227272727272727, tedium=20.5]	SOLVED	rrruulDrrrruulDLdllLruRdlldlluRRRurRRldLdLLuRlllddrUrrrUrururrdLdLLLruRdlldlluRuRRllddllluRR	18.9553	27	92	370	561	8976	702	641	1300	16	1.25134	1.26419	14.0031	370	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
91 - David W. Skinner - 129 [likes=10, dislikes=2, completion=0.703448275862069, like_ratio=0.833333333333333, like_rate=0.0229885057471264, tedium=11.25]	SOLVED	rrdrrruulDrdLuLrdLuLLullllddrrUdlluurRdRRllulldRRRluR	11.0552	15	53	177	274	4384	417	145	206	16	1.5219	1.45384	30.2345	177	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
