LevelName	Status	LURD_Path	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	ClosedListLength	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealTotalNodes	PathBranchingRealMin	PathBranchingRealMax	PathBranchingRealAvg	PathBranchingEffectiveTotalNodes	PathBranchingEffectiveMin	PathBranchingEffectiveMax	PathBranchingEffectiveAvg	PathTotalChildrenGenerated	PathRepeatedNodes	PathDeadlocks	PathRedundancy
No. 01-08 - Thinking Rabbit - 37 [likes=8, dislikes=1, completion=0.576470588235294, like_ratio=0.888888888888889, like_rate=0.0104575163398693, tedium=8.8]	SOLVED	lddlluLuLrdrdrruulLdlLrruLdlUrrrrdLulllLrrrrruulllDurrrddllLuLrdrrdLulLdLrurrdLL	25.8718	17	80	600	1438	28760	4090	2028	1971	20	2.84423	1.53374	14.1815	600	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 03-03 - Thinking Rabbit - 38 [likes=6, dislikes=1, completion=0.546082949308756, like_ratio=0.857142857142857, like_rate=0.0138248847926267, tedium=7.5]	SOLVED	ruuuuulLLrrdrddlUruullldlddrURRUddrddlUUUlldlddrURlluurrrdrddlUllluurUdlddrUdrrruUddlUdlluUddrruLLrrruUdddllllUrurRdrUdllllU	769.563	26	124	13910	57884	1852288	150220	120230	75660	32	2.59519	1.52467	15.4062	13910	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-05 - Thinking Rabbit - 39 [likes=10, dislikes=1, completion=0.538968166849616, like_ratio=0.909090909090909, like_rate=0.0109769484083425, tedium=28.5]	SOLVED	rRRddrruULLruullllDurrrrddlLrruulllldDldRuuurrrrddrdLullLrrruulllldDrrrrrruLdllllluurrrrDrdLLLrruullllddDuuurrrrddllLrrruulllldDrDulldRurrrrddlUruLLLrrruulllldD	40.4838	28	160	712	1473	23568	2348	2217	2353	16	1.59403	1.29763	10.6306	712	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 02-03 - Thinking Rabbit - 40 [likes=5, dislikes=1, completion=0.519094766619519, like_ratio=0.833333333333333, like_rate=0.007072135785007, tedium=7.25]	SOLVED	dlLdlluRRurrddLLddrrUdlluuulldR	11.3608	8	31	78	101	1616	259	102	257	16	2.56436	1.78049	15.8431	78	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-02 - Thinking Rabbit - 41 [likes=5, dislikes=0, completion=0.449297971918877, like_ratio=1.0, like_rate=0.0039001560062402, tedium=14.75]	SOLVED	ruuuuulllllddldRuuurrrrrddddddlllluRdrruruuuuullllldddRRlluuurrdLurrrrddddddllluRRdrUUUUUruLLLdllulldddrrrRddrruuuuullLLLrrrrrdddddlluuRlddrruUlllUdrrrUUruLLLLLdLrurrdLL	327.721	33	169	3860	10229	163664	32196	26577	9811	16	3.14752	1.32285	6.15811	3860	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 02-09 - Thinking Rabbit - 42 [likes=8, dislikes=1, completion=0.49622641509434, like_ratio=0.888888888888889, like_rate=0.0150943396226415, tedium=16.0]	SOLVED	ululuurrrDullDurrdDrdLuuulldRurDDrddlUdlluRlUdrRlluluRurrdDuullddddrrrUdrruLdllluluuRurD	55.087	18	88	280	1109	17744	1445	1769	2066	16	1.30298	1.47626	10.0305	280	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-03 - Thinking Rabbit - 43 [likes=11, dislikes=1, completion=0.529554655870445, like_ratio=0.916666666666667, like_rate=0.0089068825910931, tedium=6.6]	SOLVED	RDrDrddLLrruulDLruulDuuurDDDlDRurD	11.352	15	34	41	54	1080	76	16	38	20	1.40741	1.30465	67.5	41	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 02-05 - Thinking Rabbit - 44 [likes=6, dislikes=1, completion=0.49777117384844, like_ratio=0.857142857142857, like_rate=0.0089153046062407, tedium=14.0]	SOLVED	luuRRUdllddrrUdlluuurrUdldlddrruUUdddrruLdlUdlluuurrrDulldlddrruUruLdddrUlulUUddrdrU	27.9318	17	84	107	144	2304	204	182	148	16	1.41667	1.33956	12.6593	107	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
25 - Werner Ettinger - 45 [likes=2, dislikes=0, completion=0.807692307692308, like_ratio=1.0, like_rate=0.0096153846153846, tedium=5.25]	SOLVED	DlUrULuRdrDldRurDuulluRddddLLuulU	32.4871	13	33	134	150	2400	1039	157	137	16	6.92667	1.47025	15.2866	134	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
7 - Jacques Duthen - 46 [likes=6, dislikes=0, completion=0.919678714859438, like_ratio=1.0, like_rate=0.0240963855421687, tedium=6.0]	SOLVED	ruulllddRRlUluRdRluR	14.4182	7	20	11	11	132	26	1	10	12	2.36364	1.40854	132	11	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
33 - Jacques Duthen - 47 [likes=7, dislikes=0, completion=0.905, like_ratio=1.0, like_rate=0.035, tedium=11.0]	SOLVED	ullDLdRulLulldRRRRdRUluR	11.5514	12	24	29	32	256	58	10	19	8	1.8125	1.33484	25.6	29	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
28 - Jacques Duthen - 48 [likes=6, dislikes=0, completion=0.917874396135266, like_ratio=1.0, like_rate=0.0289855072463768, tedium=12.0]	SOLVED	dllUUlldRRuluurDlddrdrruulDldRulluRR	9.8747	10	36	20	24	192	54	15	21	8	2.25	1.37411	12.8	20	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - Jacques Duthen - 49 [likes=5, dislikes=0, completion=0.820855614973262, like_ratio=1.0, like_rate=0.0133689839572193, tedium=11.0]	SOLVED	uullldDuurrrddLLLulDuurrDldlDuuurrrrddlLuurDldLulDrDuurrrdLLulD	39.5841	16	63	208	529	8464	844	1008	840	16	1.59546	1.47984	8.39683	208	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	
